date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:51	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f99a0e5-247b%22	http://ziimo-halloween.pl/robots.txt		(from )
09:24:51	7105/7105	---M-Z	200	added ('OK')	text/html	etag:W/%225f9c6b90-1bc1%22	http://ziimo-halloween.pl/	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/index.html	(from )
09:24:52	9610/9610	---M--	200	added ('OK')	image/png	etag:%225f9c6b90-258a%22	http://ziimo-halloween.pl/s200x200.png	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/s200x200.png	(from http://ziimo-halloween.pl/)
09:24:52	155759/155759	---M-Z	200	added ('OK')	text/css	etag:W/%225f9c6b90-2606f%22	http://ziimo-halloween.pl/css/bootstrap.min.css	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/css/bootstrap.min.css	(from http://ziimo-halloween.pl/)
09:24:53	4425/4425	---M-Z	200	added ('OK')	text/css	etag:W/%225f9c6b90-1149%22	http://ziimo-halloween.pl/css/main.css	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/css/main.css	(from http://ziimo-halloween.pl/)
09:24:53	179721/179721	---M-Z	200	added ('OK')	text/css	etag:W/%225f9c6b90-2be09%22	http://ziimo-halloween.pl/css/now-ui-kit.css	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/css/now-ui-kit.css	(from http://ziimo-halloween.pl/)
09:24:53	7105/7105	---M-Z	200	added ('OK')	text/html	etag:W/%225f9c6b90-1bc1%22	http://ziimo-halloween.pl/index.html	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/index-2.html	(from http://ziimo-halloween.pl/)
09:24:54	6658/6658	---M-Z	200	added ('OK')	text/html	etag:W/%225f9c6b90-1a02%22	http://ziimo-halloween.pl/dlaczego.html	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/dlaczego.html	(from http://ziimo-halloween.pl/)
09:24:54	6315/6315	---M-Z	200	added ('OK')	text/html	etag:W/%225f9c6b90-18ab%22	http://ziimo-halloween.pl/rekrutacja.html	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/rekrutacja.html	(from http://ziimo-halloween.pl/)
09:24:54	6616/6616	---M-Z	200	added ('OK')	text/html	etag:W/%225f9c6b90-19d8%22	http://ziimo-halloween.pl/reklama.html	C:/Moje%20Strony%20Web/StronSerw/ziimo-halloween.pl/reklama.html	(from http://ziimo-halloween.pl/)
